tx_id,category,payment_method,country,amount_eur,ts
20260607-00-00000,groceries,cash,DE,95.87,2026-06-07T07:02:00
20260607-00-00001,fashion,cash,DE,106.33,2026-06-07T19:55:00
20260607-00-00002,fashion,transfer,IT,107.51,2026-06-07T20:53:00
20260607-00-00003,toys,card,NL,136.48,2026-06-07T03:36:00
20260607-00-00004,sports,card,BE,235.26,2026-06-07T00:29:00
20260607-00-00005,electronics,wallet,FR,91.22,2026-06-07T09:08:00
20260607-00-00006,home,card,ES,95.58,2026-06-07T23:30:00
20260607-00-00007,toys,card,IT,157.86,2026-06-07T05:41:00
20260607-00-00008,fashion,card,ES,245.48,2026-06-07T10:09:00
20260607-00-00009,books,card,DE,95.62,2026-06-07T04:37:00
20260607-00-00010,sports,transfer,DE,12.45,2026-06-07T20:20:00
20260607-00-00011,books,cash,FR,241.15,2026-06-07T14:50:00
20260607-00-00012,books,wallet,IT,72.84,2026-06-07T18:47:00
20260607-00-00013,fashion,card,BE,54.65,2026-06-07T05:51:00
20260607-00-00014,sports,wallet,BE,26.61,2026-06-07T15:58:00
20260607-00-00015,groceries,wallet,FR,249.62,2026-06-07T22:00:00
20260607-00-00016,toys,cash,FR,21.94,2026-06-07T14:19:00
20260607-00-00017,electronics,cash,IT,226.7,2026-06-07T21:31:00
20260607-00-00018,electronics,cash,IT,243.02,2026-06-07T13:14:00
20260607-00-00019,toys,transfer,BE,80.57,2026-06-07T19:11:00
20260607-00-00020,fashion,card,FR,89.15,2026-06-07T15:48:00
20260607-00-00021,electronics,wallet,NL,114.85,2026-06-07T04:42:00
20260607-00-00022,groceries,card,NL,124.57,2026-06-07T00:34:00
20260607-00-00023,books,card,DE,111.68,2026-06-07T00:14:00
20260607-00-00024,sports,card,FR,81.09,2026-06-07T07:05:00
20260607-00-00025,toys,card,IT,106.58,2026-06-07T06:36:00
20260607-00-00026,books,card,IT,167.09,2026-06-07T22:02:00
20260607-00-00027,books,card,IT,136.47,2026-06-07T16:11:00
20260607-00-00028,groceries,cash,NL,38.11,2026-06-07T06:58:00
20260607-00-00029,books,transfer,NL,232.12,2026-06-07T09:26:00
20260607-00-00030,groceries,wallet,IT,249.77,2026-06-07T10:49:00
20260607-00-00031,home,cash,NL,162.35,2026-06-07T00:29:00
20260607-00-00032,books,wallet,BE,25.54,2026-06-07T22:28:00
20260607-00-00033,groceries,transfer,BE,88.31,2026-06-07T10:10:00
20260607-00-00034,home,transfer,NL,245.39,2026-06-07T19:50:00
20260607-00-00035,home,transfer,ES,213.4,2026-06-07T16:23:00
20260607-00-00036,electronics,cash,IT,81.23,2026-06-07T01:40:00
20260607-00-00037,electronics,wallet,BE,97.36,2026-06-07T03:27:00
20260607-00-00038,groceries,cash,FR,188.25,2026-06-07T13:43:00
20260607-00-00039,groceries,card,BE,134.57,2026-06-07T04:19:00
20260607-00-00040,sports,card,IT,203.37,2026-06-07T14:21:00
20260607-00-00041,home,wallet,BE,82.57,2026-06-07T12:08:00
20260607-00-00042,groceries,card,ES,237.65,2026-06-07T19:05:00
20260607-00-00043,toys,transfer,FR,97.18,2026-06-07T19:45:00
20260607-00-00044,home,transfer,NL,3.18,2026-06-07T02:37:00
20260607-00-00045,toys,card,FR,187.39,2026-06-07T20:10:00
20260607-00-00046,sports,wallet,IT,240.1,2026-06-07T03:57:00
20260607-00-00047,home,cash,ES,205.94,2026-06-07T11:03:00
20260607-00-00048,toys,wallet,DE,97.46,2026-06-07T12:29:00
20260607-00-00049,fashion,wallet,FR,242.13,2026-06-07T12:39:00
