tx_id,category,payment_method,country,amount_eur,ts
20260606-00-00000,toys,cash,FR,156.99,2026-06-06T14:36:00
20260606-00-00001,toys,cash,IT,62.63,2026-06-06T02:06:00
20260606-00-00002,toys,wallet,ES,77.62,2026-06-06T16:18:00
20260606-00-00003,books,transfer,ES,52.75,2026-06-06T10:29:00
20260606-00-00004,sports,wallet,NL,241.58,2026-06-06T11:38:00
20260606-00-00005,toys,cash,DE,65.93,2026-06-06T05:37:00
20260606-00-00006,groceries,transfer,IT,5.39,2026-06-06T04:14:00
20260606-00-00007,toys,transfer,IT,56.62,2026-06-06T14:50:00
20260606-00-00008,groceries,cash,ES,124.55,2026-06-06T19:51:00
20260606-00-00009,sports,card,DE,154.69,2026-06-06T07:18:00
20260606-00-00010,electronics,cash,IT,31.87,2026-06-06T18:15:00
20260606-00-00011,sports,card,DE,195.41,2026-06-06T07:06:00
20260606-00-00012,books,transfer,FR,3.37,2026-06-06T10:44:00
20260606-00-00013,sports,wallet,IT,101.32,2026-06-06T13:13:00
20260606-00-00014,groceries,cash,IT,43.27,2026-06-06T11:20:00
20260606-00-00015,sports,wallet,NL,191.2,2026-06-06T17:17:00
20260606-00-00016,sports,card,ES,123.38,2026-06-06T08:59:00
20260606-00-00017,electronics,card,NL,41.94,2026-06-06T11:50:00
20260606-00-00018,sports,card,BE,119.24,2026-06-06T23:35:00
20260606-00-00019,sports,transfer,BE,38.08,2026-06-06T04:45:00
20260606-00-00020,fashion,wallet,IT,118.43,2026-06-06T12:59:00
20260606-00-00021,fashion,transfer,BE,21.95,2026-06-06T14:12:00
20260606-00-00022,toys,card,ES,25.01,2026-06-06T16:53:00
20260606-00-00023,electronics,card,BE,84.75,2026-06-06T15:48:00
20260606-00-00024,groceries,cash,BE,223.79,2026-06-06T10:35:00
20260606-00-00025,fashion,transfer,IT,18.83,2026-06-06T14:42:00
20260606-00-00026,home,card,BE,12.9,2026-06-06T08:28:00
20260606-00-00027,groceries,card,IT,83.09,2026-06-06T01:28:00
20260606-00-00028,books,card,DE,183.69,2026-06-06T23:45:00
20260606-00-00029,toys,cash,ES,129.31,2026-06-06T08:48:00
20260606-00-00030,electronics,cash,DE,133.02,2026-06-06T00:19:00
20260606-00-00031,home,transfer,NL,127.27,2026-06-06T14:42:00
20260606-00-00032,books,transfer,FR,175.56,2026-06-06T18:44:00
20260606-00-00033,toys,card,BE,53.74,2026-06-06T12:28:00
20260606-00-00034,books,transfer,BE,234.04,2026-06-06T05:39:00
20260606-00-00035,toys,card,BE,185.94,2026-06-06T03:45:00
20260606-00-00036,electronics,wallet,BE,42.6,2026-06-06T16:10:00
20260606-00-00037,sports,card,NL,101.83,2026-06-06T10:51:00
20260606-00-00038,toys,wallet,DE,91.76,2026-06-06T08:27:00
20260606-00-00039,sports,cash,FR,80.02,2026-06-06T02:11:00
