tx_id,category,payment_method,country,amount_eur,ts
20260614-00-00000,groceries,cash,ES,241.92,2026-06-14T17:23:00
20260614-00-00001,books,transfer,ES,42.0,2026-06-14T04:39:00
20260614-00-00002,groceries,transfer,DE,185.75,2026-06-14T06:50:00
20260614-00-00003,groceries,card,ES,130.67,2026-06-14T14:36:00
20260614-00-00004,sports,transfer,DE,174.23,2026-06-14T02:16:00
20260614-00-00005,sports,card,BE,97.96,2026-06-14T09:38:00
20260614-00-00006,groceries,cash,NL,219.9,2026-06-14T08:49:00
20260614-00-00007,toys,wallet,ES,73.2,2026-06-14T19:10:00
20260614-00-00008,electronics,card,ES,44.05,2026-06-14T20:25:00
20260614-00-00009,home,card,BE,205.52,2026-06-14T22:12:00
20260614-00-00010,toys,card,ES,16.02,2026-06-14T10:32:00
20260614-00-00011,toys,wallet,NL,149.05,2026-06-14T14:08:00
20260614-00-00012,toys,transfer,DE,136.57,2026-06-14T08:28:00
20260614-00-00013,toys,wallet,NL,95.89,2026-06-14T04:07:00
20260614-00-00014,toys,cash,BE,133.66,2026-06-14T04:07:00
20260614-00-00015,toys,cash,NL,237.78,2026-06-14T18:48:00
20260614-00-00016,groceries,wallet,IT,150.41,2026-06-14T15:23:00
20260614-00-00017,books,wallet,ES,213.09,2026-06-14T22:52:00
20260614-00-00018,books,cash,BE,17.87,2026-06-14T22:50:00
20260614-00-00019,groceries,card,DE,145.16,2026-06-14T01:18:00
20260614-00-00020,home,transfer,IT,57.06,2026-06-14T17:54:00
20260614-00-00021,fashion,cash,IT,19.1,2026-06-14T15:27:00
20260614-00-00022,electronics,card,ES,141.04,2026-06-14T09:56:00
20260614-00-00023,sports,cash,DE,170.12,2026-06-14T06:12:00
20260614-00-00024,sports,transfer,IT,71.13,2026-06-14T09:23:00
20260614-00-00025,fashion,transfer,IT,26.26,2026-06-14T13:57:00
20260614-00-00026,fashion,transfer,BE,248.93,2026-06-14T00:29:00
20260614-00-00027,sports,cash,NL,97.92,2026-06-14T21:17:00
20260614-00-00028,fashion,card,ES,212.85,2026-06-14T21:36:00
20260614-00-00029,books,transfer,IT,211.98,2026-06-14T08:06:00
20260614-00-00030,groceries,transfer,ES,179.92,2026-06-14T21:44:00
20260614-00-00031,sports,cash,BE,12.63,2026-06-14T02:04:00
20260614-00-00032,electronics,transfer,NL,242.06,2026-06-14T23:53:00
20260614-00-00033,home,wallet,BE,17.26,2026-06-14T14:49:00
20260614-00-00034,electronics,transfer,DE,125.97,2026-06-14T03:34:00
20260614-00-00035,toys,cash,ES,227.82,2026-06-14T08:52:00
20260614-00-00036,groceries,card,NL,103.59,2026-06-14T16:32:00
20260614-00-00037,home,cash,ES,232.01,2026-06-14T08:51:00
20260614-00-00038,toys,cash,DE,88.77,2026-06-14T01:11:00
20260614-00-00039,groceries,card,DE,206.66,2026-06-14T23:05:00
20260614-00-00040,sports,cash,BE,54.93,2026-06-14T14:32:00
20260614-00-00041,home,transfer,BE,44.22,2026-06-14T17:19:00
20260614-00-00042,groceries,transfer,ES,248.46,2026-06-14T21:45:00
20260614-00-00043,home,wallet,IT,49.04,2026-06-14T23:05:00
20260614-00-00044,books,wallet,NL,130.97,2026-06-14T23:25:00
20260614-00-00045,home,wallet,ES,248.49,2026-06-14T08:34:00
20260614-00-00046,groceries,wallet,BE,167.36,2026-06-14T05:58:00
20260614-00-00047,electronics,wallet,BE,204.3,2026-06-14T18:55:00
20260614-00-00048,groceries,card,ES,10.9,2026-06-14T12:09:00
20260614-00-00049,books,transfer,ES,29.2,2026-06-14T05:54:00
20260614-00-00050,home,transfer,FR,145.56,2026-06-14T21:30:00
20260614-00-00051,home,wallet,ES,208.02,2026-06-14T22:38:00
20260614-00-00052,groceries,cash,ES,92.67,2026-06-14T13:51:00
20260614-00-00053,books,card,BE,122.12,2026-06-14T03:45:00
20260614-00-00054,toys,wallet,FR,126.13,2026-06-14T00:11:00
20260614-00-00055,electronics,transfer,FR,25.08,2026-06-14T16:43:00
20260614-00-00056,home,card,NL,241.3,2026-06-14T09:18:00
20260614-00-00057,fashion,transfer,FR,184.96,2026-06-14T09:30:00
20260614-00-00058,home,card,DE,245.58,2026-06-14T07:09:00
20260614-00-00059,home,transfer,NL,7.04,2026-06-14T19:57:00
20260614-00-00060,sports,transfer,NL,148.76,2026-06-14T12:00:00
20260614-00-00061,fashion,wallet,BE,14.86,2026-06-14T23:14:00
20260614-00-00062,sports,wallet,FR,120.29,2026-06-14T22:16:00
20260614-00-00063,fashion,cash,BE,3.35,2026-06-14T09:59:00
