tx_id,category,payment_method,country,amount_eur,ts
20260608-00-00000,fashion,transfer,DE,243.6,2026-06-08T18:27:00
20260608-00-00001,sports,card,IT,88.88,2026-06-08T01:46:00
20260608-00-00002,fashion,transfer,ES,34.84,2026-06-08T21:07:00
20260608-00-00003,home,cash,BE,244.81,2026-06-08T23:06:00
20260608-00-00004,home,card,DE,235.56,2026-06-08T18:19:00
20260608-00-00005,home,card,IT,237.97,2026-06-08T07:46:00
20260608-00-00006,home,transfer,NL,24.34,2026-06-08T06:38:00
20260608-00-00007,sports,transfer,BE,28.3,2026-06-08T04:16:00
20260608-00-00008,books,wallet,ES,163.9,2026-06-08T01:17:00
20260608-00-00009,books,transfer,BE,247.05,2026-06-08T12:53:00
20260608-00-00010,home,transfer,ES,121.85,2026-06-08T20:51:00
20260608-00-00011,books,card,FR,45.19,2026-06-08T14:11:00
20260608-00-00012,fashion,transfer,FR,177.05,2026-06-08T06:00:00
20260608-00-00013,groceries,wallet,IT,5.7,2026-06-08T00:10:00
20260608-00-00014,groceries,transfer,DE,80.19,2026-06-08T23:34:00
20260608-00-00015,fashion,cash,FR,81.78,2026-06-08T16:22:00
20260608-00-00016,groceries,wallet,DE,157.02,2026-06-08T08:22:00
20260608-00-00017,books,card,BE,245.34,2026-06-08T13:22:00
20260608-00-00018,toys,transfer,DE,119.97,2026-06-08T00:56:00
20260608-00-00019,toys,cash,FR,21.04,2026-06-08T23:49:00
20260608-00-00020,groceries,card,BE,37.39,2026-06-08T19:47:00
20260608-00-00021,books,wallet,IT,37.79,2026-06-08T22:06:00
20260608-00-00022,books,cash,BE,110.53,2026-06-08T19:49:00
20260608-00-00023,fashion,wallet,ES,91.59,2026-06-08T20:14:00
20260608-00-00024,fashion,transfer,FR,232.31,2026-06-08T20:13:00
20260608-00-00025,home,cash,BE,233.19,2026-06-08T19:28:00
20260608-00-00026,fashion,card,BE,154.85,2026-06-08T10:52:00
20260608-00-00027,sports,card,DE,12.13,2026-06-08T19:41:00
20260608-00-00028,toys,cash,NL,67.08,2026-06-08T07:09:00
20260608-00-00029,books,transfer,BE,75.83,2026-06-08T05:48:00
20260608-00-00030,toys,card,BE,121.38,2026-06-08T12:59:00
20260608-00-00031,toys,wallet,DE,21.03,2026-06-08T11:14:00
20260608-00-00032,fashion,wallet,DE,71.03,2026-06-08T11:55:00
20260608-00-00033,fashion,transfer,ES,145.36,2026-06-08T09:32:00
20260608-00-00034,groceries,wallet,BE,221.49,2026-06-08T10:49:00
20260608-00-00035,electronics,transfer,FR,169.13,2026-06-08T08:51:00
20260608-00-00036,toys,wallet,BE,218.45,2026-06-08T09:21:00
20260608-00-00037,toys,cash,IT,214.52,2026-06-08T07:55:00
20260608-00-00038,books,cash,ES,170.07,2026-06-08T23:24:00
20260608-00-00039,home,transfer,BE,73.83,2026-06-08T06:34:00
20260608-00-00040,electronics,wallet,FR,68.62,2026-06-08T13:10:00
20260608-00-00041,books,transfer,DE,32.09,2026-06-08T01:06:00
20260608-00-00042,toys,cash,DE,219.26,2026-06-08T05:55:00
20260608-00-00043,groceries,transfer,BE,195.15,2026-06-08T18:01:00
20260608-00-00044,fashion,transfer,NL,74.12,2026-06-08T14:10:00
20260608-00-00045,fashion,cash,DE,170.02,2026-06-08T04:36:00
20260608-00-00046,fashion,card,BE,85.2,2026-06-08T23:02:00
20260608-00-00047,fashion,transfer,NL,20.35,2026-06-08T11:57:00
20260608-00-00048,fashion,card,NL,203.48,2026-06-08T14:28:00
20260608-00-00049,fashion,transfer,BE,60.29,2026-06-08T08:40:00
20260608-00-00050,home,card,DE,84.11,2026-06-08T05:14:00
20260608-00-00051,home,transfer,ES,129.69,2026-06-08T08:09:00
20260608-00-00052,home,transfer,DE,102.86,2026-06-08T19:34:00
20260608-00-00053,toys,cash,NL,77.56,2026-06-08T16:03:00
20260608-00-00054,home,cash,ES,210.0,2026-06-08T14:09:00
20260608-00-00055,sports,cash,FR,65.08,2026-06-08T07:09:00
20260608-00-00056,groceries,cash,FR,248.9,2026-06-08T10:49:00
20260608-00-00057,books,transfer,BE,124.03,2026-06-08T18:25:00
20260608-00-00058,toys,transfer,NL,208.23,2026-06-08T23:47:00
20260608-00-00059,sports,transfer,IT,193.39,2026-06-08T12:08:00
20260608-00-00060,electronics,transfer,FR,223.23,2026-06-08T07:43:00
20260608-00-00061,groceries,wallet,BE,39.77,2026-06-08T03:10:00
20260608-00-00062,toys,cash,NL,101.89,2026-06-08T13:27:00
20260608-00-00063,home,transfer,BE,232.43,2026-06-08T03:25:00
20260608-00-00064,books,transfer,FR,109.3,2026-06-08T23:19:00
20260608-00-00065,groceries,transfer,ES,159.69,2026-06-08T22:59:00
20260608-00-00066,sports,cash,NL,157.48,2026-06-08T11:52:00
20260608-00-00067,books,transfer,BE,153.9,2026-06-08T01:18:00
20260608-00-00068,groceries,transfer,BE,73.82,2026-06-08T21:08:00
20260608-00-00069,fashion,transfer,NL,107.13,2026-06-08T23:26:00
20260608-00-00070,toys,wallet,NL,94.14,2026-06-08T13:58:00
20260608-00-00071,electronics,wallet,ES,220.74,2026-06-08T12:39:00
20260608-00-00072,toys,wallet,IT,228.34,2026-06-08T13:29:00
20260608-00-00073,sports,transfer,ES,154.34,2026-06-08T13:53:00
20260608-00-00074,sports,transfer,FR,90.7,2026-06-08T04:11:00
20260608-00-00075,books,cash,NL,62.77,2026-06-08T12:41:00
20260608-00-00076,toys,card,NL,156.34,2026-06-08T13:51:00
20260608-00-00077,fashion,transfer,FR,194.78,2026-06-08T19:42:00
20260608-00-00078,fashion,cash,ES,51.13,2026-06-08T01:33:00
20260608-00-00079,groceries,transfer,ES,7.11,2026-06-08T18:13:00
20260608-00-00080,groceries,card,DE,163.04,2026-06-08T15:17:00
20260608-00-00081,home,card,BE,149.0,2026-06-08T00:28:00
20260608-00-00082,toys,card,BE,215.51,2026-06-08T20:16:00
20260608-00-00083,groceries,transfer,IT,233.87,2026-06-08T00:13:00
20260608-00-00084,toys,card,IT,73.02,2026-06-08T12:43:00
20260608-00-00085,fashion,transfer,ES,103.65,2026-06-08T21:07:00
20260608-00-00086,sports,wallet,IT,122.73,2026-06-08T23:58:00
20260608-00-00087,electronics,cash,FR,42.45,2026-06-08T13:52:00
20260608-00-00088,books,cash,NL,104.52,2026-06-08T10:20:00
20260608-00-00089,electronics,card,BE,111.59,2026-06-08T03:14:00
20260608-00-00090,sports,transfer,IT,85.89,2026-06-08T02:13:00
20260608-00-00091,books,transfer,BE,82.88,2026-06-08T23:50:00
20260608-00-00092,fashion,wallet,DE,60.4,2026-06-08T20:22:00
20260608-00-00093,sports,card,FR,69.19,2026-06-08T16:23:00
20260608-00-00094,sports,transfer,NL,226.95,2026-06-08T17:45:00
20260608-00-00095,sports,wallet,ES,73.17,2026-06-08T17:40:00
20260608-00-00096,sports,cash,FR,160.82,2026-06-08T07:27:00
20260608-00-00097,home,transfer,ES,244.35,2026-06-08T13:46:00
20260608-00-00098,toys,cash,BE,43.01,2026-06-08T16:40:00
