tx_id,category,payment_method,country,amount_eur,ts
20260602-00-00000,books,transfer,FR,82.97,2026-06-02T17:43:00
20260602-00-00001,electronics,wallet,BE,154.22,2026-06-02T12:44:00
20260602-00-00002,sports,card,FR,57.89,2026-06-02T13:24:00
20260602-00-00003,toys,wallet,FR,156.37,2026-06-02T05:28:00
20260602-00-00004,books,wallet,DE,189.74,2026-06-02T09:52:00
20260602-00-00005,electronics,transfer,NL,222.25,2026-06-02T04:18:00
20260602-00-00006,electronics,wallet,IT,192.22,2026-06-02T11:23:00
20260602-00-00007,groceries,transfer,NL,229.46,2026-06-02T04:47:00
20260602-00-00008,sports,transfer,ES,106.32,2026-06-02T23:44:00
20260602-00-00009,electronics,cash,ES,132.24,2026-06-02T07:22:00
20260602-00-00010,sports,card,NL,229.66,2026-06-02T08:44:00
20260602-00-00011,toys,transfer,NL,65.83,2026-06-02T21:36:00
20260602-00-00012,sports,cash,FR,61.67,2026-06-02T23:19:00
20260602-00-00013,books,wallet,ES,187.19,2026-06-02T04:19:00
20260602-00-00014,home,wallet,NL,200.23,2026-06-02T09:21:00
20260602-00-00015,electronics,transfer,FR,118.44,2026-06-02T04:44:00
20260602-00-00016,fashion,wallet,FR,154.08,2026-06-02T21:14:00
20260602-00-00017,groceries,transfer,NL,150.46,2026-06-02T23:58:00
20260602-00-00018,books,card,BE,53.02,2026-06-02T03:31:00
20260602-00-00019,toys,transfer,NL,37.27,2026-06-02T19:17:00
20260602-00-00020,toys,cash,BE,137.22,2026-06-02T07:06:00
20260602-00-00021,toys,card,DE,43.22,2026-06-02T13:27:00
20260602-00-00022,books,transfer,NL,46.84,2026-06-02T16:54:00
20260602-00-00023,sports,card,BE,187.08,2026-06-02T02:48:00
20260602-00-00024,fashion,cash,NL,64.53,2026-06-02T11:27:00
20260602-00-00025,fashion,card,NL,70.55,2026-06-02T07:21:00
20260602-00-00026,groceries,wallet,DE,195.27,2026-06-02T17:41:00
20260602-00-00027,electronics,card,NL,118.15,2026-06-02T21:18:00
20260602-00-00028,electronics,cash,FR,17.59,2026-06-02T21:55:00
20260602-00-00029,fashion,transfer,FR,155.29,2026-06-02T06:54:00
20260602-00-00030,books,card,DE,77.37,2026-06-02T14:28:00
20260602-00-00031,fashion,transfer,ES,154.5,2026-06-02T01:19:00
20260602-00-00032,electronics,cash,IT,61.25,2026-06-02T15:27:00
20260602-00-00033,electronics,cash,ES,164.03,2026-06-02T03:39:00
20260602-00-00034,books,wallet,IT,141.56,2026-06-02T10:04:00
20260602-00-00035,books,cash,NL,130.42,2026-06-02T02:41:00
20260602-00-00036,toys,transfer,IT,85.17,2026-06-02T23:43:00
20260602-00-00037,books,card,NL,234.94,2026-06-02T15:36:00
20260602-00-00038,home,card,BE,199.62,2026-06-02T08:55:00
20260602-00-00039,books,cash,BE,135.82,2026-06-02T16:19:00
20260602-00-00040,groceries,wallet,DE,43.85,2026-06-02T09:51:00
20260602-00-00041,electronics,card,BE,178.61,2026-06-02T11:42:00
20260602-00-00042,groceries,card,DE,178.72,2026-06-02T17:58:00
20260602-00-00043,home,wallet,DE,89.36,2026-06-02T18:39:00
20260602-00-00044,home,cash,BE,36.27,2026-06-02T14:48:00
20260602-00-00045,home,card,NL,190.24,2026-06-02T01:58:00
20260602-00-00046,sports,transfer,NL,109.53,2026-06-02T18:37:00
20260602-00-00047,fashion,transfer,FR,246.38,2026-06-02T15:02:00
20260602-00-00048,electronics,wallet,IT,207.7,2026-06-02T10:12:00
20260602-00-00049,fashion,transfer,ES,140.2,2026-06-02T12:15:00
20260602-00-00050,toys,transfer,DE,94.32,2026-06-02T18:34:00
20260602-00-00051,books,card,NL,237.79,2026-06-02T03:42:00
20260602-00-00052,electronics,card,DE,74.53,2026-06-02T03:38:00
20260602-00-00053,sports,cash,IT,206.45,2026-06-02T12:37:00
20260602-00-00054,toys,transfer,FR,146.46,2026-06-02T09:12:00
20260602-00-00055,home,transfer,DE,16.72,2026-06-02T14:01:00
20260602-00-00056,electronics,card,NL,162.42,2026-06-02T21:42:00
20260602-00-00057,sports,wallet,NL,215.51,2026-06-02T18:43:00
20260602-00-00058,electronics,wallet,FR,225.92,2026-06-02T07:54:00
20260602-00-00059,sports,cash,ES,165.93,2026-06-02T01:41:00
20260602-00-00060,home,cash,ES,228.95,2026-06-02T10:57:00
20260602-00-00061,fashion,transfer,IT,217.78,2026-06-02T15:27:00
20260602-00-00062,toys,wallet,IT,116.86,2026-06-02T19:40:00
20260602-00-00063,books,transfer,FR,181.66,2026-06-02T11:41:00
20260602-00-00064,groceries,cash,BE,67.21,2026-06-02T01:58:00
20260602-00-00065,fashion,wallet,IT,94.4,2026-06-02T11:19:00
20260602-00-00066,books,wallet,NL,101.22,2026-06-02T05:26:00
20260602-00-00067,electronics,cash,IT,45.3,2026-06-02T02:05:00
20260602-00-00068,books,wallet,DE,140.51,2026-06-02T16:28:00
20260602-00-00069,electronics,wallet,DE,203.34,2026-06-02T23:06:00
20260602-00-00070,electronics,wallet,NL,194.02,2026-06-02T17:29:00
20260602-00-00071,electronics,card,IT,132.56,2026-06-02T06:52:00
20260602-00-00072,toys,card,FR,50.52,2026-06-02T17:30:00
20260602-00-00073,electronics,cash,NL,195.69,2026-06-02T15:52:00
20260602-00-00074,groceries,card,FR,137.39,2026-06-02T19:33:00
20260602-00-00075,fashion,wallet,DE,219.44,2026-06-02T09:46:00
20260602-00-00076,fashion,cash,DE,248.08,2026-06-02T00:32:00
20260602-00-00077,books,wallet,NL,203.59,2026-06-02T03:25:00
20260602-00-00078,fashion,transfer,NL,248.87,2026-06-02T15:15:00
20260602-00-00079,electronics,wallet,NL,194.63,2026-06-02T22:33:00
20260602-00-00080,books,cash,BE,169.38,2026-06-02T22:38:00
20260602-00-00081,toys,transfer,NL,228.67,2026-06-02T15:46:00
20260602-00-00082,sports,cash,ES,87.89,2026-06-02T09:02:00
20260602-00-00083,groceries,cash,ES,73.14,2026-06-02T19:13:00
20260602-00-00084,home,transfer,IT,49.18,2026-06-02T09:33:00
20260602-00-00085,fashion,card,ES,74.97,2026-06-02T14:57:00
20260602-00-00086,books,cash,FR,51.68,2026-06-02T03:10:00
20260602-00-00087,fashion,transfer,NL,121.87,2026-06-02T21:49:00
20260602-00-00088,books,card,DE,181.92,2026-06-02T02:48:00
20260602-00-00089,home,card,BE,102.3,2026-06-02T20:26:00
20260602-00-00090,books,card,FR,184.55,2026-06-02T22:04:00
20260602-00-00091,fashion,cash,BE,154.0,2026-06-02T20:57:00
